LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/01/2022 00:39:00,63.00,1310.00,772.00,236.00,136.00,93.00,148.00,192.00,202.00,APPROVED
NM: CARLSBAD,01/01/2022 01:39:00,62.00,1317.00,780.00,236.00,138.00,92.00,153.00,193.00,202.00,APPROVED
NM: CARLSBAD,01/01/2022 02:40:00,61.00,1315.00,773.00,238.00,139.00,90.00,153.00,194.00,204.00,APPROVED
NM: CARLSBAD,01/01/2022 03:40:00,63.00,1323.00,782.00,237.00,137.00,92.00,157.00,195.00,203.00,APPROVED
NM: CARLSBAD,01/01/2022 04:40:00,65.00,1339.00,787.00,239.00,136.00,95.00,155.00,200.00,203.00,APPROVED
NM: CARLSBAD,01/01/2022 05:40:00,65.00,1343.00,790.00,235.00,140.00,94.00,155.00,196.00,201.00,APPROVED
NM: CARLSBAD,01/01/2022 06:40:00,68.00,1340.00,789.00,236.00,139.00,92.00,156.00,198.00,201.00,APPROVED
NM: CARLSBAD,01/01/2022 07:41:00,65.00,1336.00,785.00,241.00,137.00,94.00,160.00,202.00,206.00,APPROVED
NM: CARLSBAD,01/01/2022 08:41:00,73.00,1461.00,906.00,267.00,163.00,101.00,171.00,202.00,209.00,APPROVED
NM: CARLSBAD,01/01/2022 09:41:00,70.00,1387.00,831.00,253.00,149.00,100.00,165.00,205.00,205.00,APPROVED
NM: CARLSBAD,01/01/2022 10:41:00,65.00,1323.00,782.00,242.00,141.00,95.00,160.00,201.00,204.00,APPROVED
NM: CARLSBAD,01/01/2022 11:41:00,66.00,1297.00,766.00,234.00,139.00,94.00,159.00,197.00,209.00,APPROVED
NM: CARLSBAD,01/01/2022 12:42:00,65.00,1302.00,771.00,232.00,133.00,92.00,157.00,197.00,200.00,APPROVED
NM: CARLSBAD,01/01/2022 13:42:00,65.00,1294.00,768.00,234.00,135.00,93.00,158.00,198.00,204.00,APPROVED
NM: CARLSBAD,01/01/2022 14:42:00,61.00,1309.00,769.00,235.00,135.00,91.00,157.00,198.00,207.00,APPROVED
NM: CARLSBAD,01/01/2022 15:42:00,61.00,1306.00,756.00,234.00,136.00,93.00,156.00,201.00,207.00,APPROVED
NM: CARLSBAD,01/01/2022 16:43:00,62.00,1303.00,764.00,232.00,140.00,92.00,158.00,198.00,202.00,APPROVED
NM: CARLSBAD,01/01/2022 17:43:00,60.00,1311.00,771.00,238.00,137.00,93.00,156.00,200.00,204.00,APPROVED
NM: CARLSBAD,01/01/2022 18:43:00,60.00,1307.00,765.00,238.00,140.00,91.00,156.00,201.00,204.00,APPROVED
NM: CARLSBAD,01/01/2022 19:43:00,59.00,1308.00,771.00,236.00,137.00,94.00,158.00,199.00,206.00,APPROVED
NM: CARLSBAD,01/01/2022 20:43:00,60.00,1303.00,767.00,239.00,135.00,93.00,156.00,199.00,208.00,APPROVED
NM: CARLSBAD,01/01/2022 21:44:00,60.00,1331.00,788.00,243.00,140.00,94.00,157.00,202.00,203.00,APPROVED
NM: CARLSBAD,01/01/2022 22:44:00,63.00,1349.00,800.00,247.00,145.00,95.00,159.00,198.00,204.00,APPROVED
NM: CARLSBAD,01/01/2022 23:44:00,64.00,1326.00,782.00,241.00,138.00,94.00,159.00,198.00,200.00,APPROVED
NM: CARLSBAD,01/02/2022 00:44:00,64.00,1324.00,780.00,234.00,139.00,93.00,160.00,199.00,206.00,APPROVED
NM: CARLSBAD,01/02/2022 01:44:00,63.00,1340.00,791.00,239.00,134.00,94.00,157.00,200.00,204.00,APPROVED
NM: CARLSBAD,01/02/2022 02:45:00,73.00,1452.00,861.00,251.00,152.00,98.00,164.00,199.00,203.00,APPROVED
NM: CARLSBAD,01/02/2022 03:45:00,76.00,1502.00,891.00,253.00,155.00,102.00,171.00,194.00,207.00,APPROVED
NM: CARLSBAD,01/02/2022 04:45:00,82.00,1481.00,876.00,253.00,154.00,100.00,188.00,186.00,204.00,APPROVED
NM: CARLSBAD,01/02/2022 05:45:00,88.00,1461.00,876.00,251.00,154.00,101.00,189.00,186.00,207.00,APPROVED
NM: CARLSBAD,01/02/2022 06:46:00,88.00,1460.00,864.00,257.00,154.00,101.00,191.00,184.00,210.00,APPROVED
NM: CARLSBAD,01/02/2022 07:46:00,87.00,1460.00,868.00,254.00,152.00,101.00,192.00,182.00,209.00,APPROVED
NM: CARLSBAD,01/02/2022 08:46:00,90.00,1455.00,850.00,251.00,151.00,98.00,192.00,184.00,212.00,APPROVED
NM: CARLSBAD,01/02/2022 09:46:00,88.00,1449.00,853.00,254.00,152.00,100.00,191.00,182.00,209.00,APPROVED
NM: CARLSBAD,01/02/2022 10:46:00,92.00,1433.00,848.00,245.00,146.00,99.00,190.00,184.00,215.00,APPROVED
NM: CARLSBAD,01/02/2022 11:47:00,98.00,1442.00,854.00,253.00,153.00,100.00,189.00,183.00,212.00,APPROVED
NM: CARLSBAD,01/02/2022 12:47:00,97.00,1439.00,847.00,244.00,150.00,100.00,187.00,184.00,214.00,APPROVED
NM: CARLSBAD,01/02/2022 13:47:00,95.00,1449.00,855.00,248.00,147.00,101.00,189.00,188.00,211.00,APPROVED
NM: CARLSBAD,01/02/2022 14:47:00,93.00,1442.00,855.00,250.00,151.00,102.00,188.00,188.00,210.00,APPROVED
NM: CARLSBAD,01/02/2022 15:47:00,82.00,1489.00,883.00,260.00,153.00,103.00,192.00,188.00,210.00,APPROVED
NM: CARLSBAD,01/02/2022 16:48:00,80.00,1443.00,856.00,251.00,154.00,102.00,183.00,192.00,211.00,APPROVED
NM: CARLSBAD,01/02/2022 17:48:00,73.00,1449.00,862.00,253.00,155.00,100.00,172.00,205.00,211.00,APPROVED
NM: CARLSBAD,01/02/2022 18:48:00,73.00,1472.00,864.00,258.00,152.00,97.00,170.00,205.00,207.00,APPROVED
