LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/01/2020 00:06:00,92.00,1668.00,1009.00,301.00,145.00,86.00,112.00,73.00,46.00,APPROVED
NM: CARLSBAD,01/01/2020 01:06:00,99.00,1670.00,1012.00,304.00,145.00,84.00,110.00,71.00,48.00,APPROVED
NM: CARLSBAD,01/01/2020 02:06:00,97.00,1679.00,1026.00,306.00,148.00,89.00,114.00,74.00,49.00,APPROVED
NM: CARLSBAD,01/01/2020 03:06:00,101.00,1696.00,1042.00,301.00,151.00,87.00,113.00,74.00,47.00,APPROVED
NM: CARLSBAD,01/01/2020 04:07:00,109.00,1724.00,1064.00,310.00,154.00,87.00,111.00,75.00,48.00,APPROVED
NM: CARLSBAD,01/01/2020 05:07:00,115.00,1762.00,1095.00,312.00,159.00,91.00,115.00,77.00,49.00,APPROVED
NM: CARLSBAD,01/01/2020 06:07:00,116.00,1769.00,1100.00,321.00,161.00,93.00,120.00,77.00,49.00,APPROVED
NM: CARLSBAD,01/01/2020 07:07:00,119.00,1785.00,1108.00,323.00,162.00,91.00,118.00,78.00,50.00,APPROVED
NM: CARLSBAD,01/01/2020 08:08:00,122.00,1809.00,1145.00,329.00,165.00,94.00,120.00,82.00,48.00,APPROVED
NM: CARLSBAD,01/01/2020 09:08:00,122.00,1909.00,1254.00,359.00,186.00,102.00,137.00,85.00,53.00,APPROVED
NM: CARLSBAD,01/01/2020 10:08:00,121.00,1895.00,1242.00,359.00,190.00,103.00,138.00,86.00,52.00,APPROVED
